crop,state_name,season,nitrogen,phosphorous,potassium,temperature_c,humidity,ph,rainfall_mm,moisture 
Lentil,Uttarakhand,Rabi,38.29,30.68,34.39,19.11,59.33,6.31,65.62,20.1
Maize,Karnataka,Summer,70.95,45.64,24.3,31.74,49.11,6.1,56.1,13.73
Rice,Punjab,Kharif,49.26,57.52,36.11,25.99,83.3,8.44,212.08,33.56
Mango,Kerala,Whole Year,33.44,20.92,43.78,33.56,46.5,5.67,120.0,29.42
Banana,Tamil Nadu,Whole Year,121.93,85.26,42.83,30.96,71.21,6.28,116.42,26.67
Jute,West Bengal,Kharif,103.63,48.21,44.54,27.82,98.0,6.43,164.48,33.94
Maize,Assam,Kharif,73.74,57.23,31.96,25.29,60.67,6.33,156.68,25.72
Orange,Madhya Pradesh,Whole Year,25.23,17.26,10.55,30.93,88.03,7.19,144.12,24.47
Rice,Assam,Summer,86.2,48.66,41.37,29.32,76.23,5.9,241.88,33.01
Grapes,Maharashtra,Whole Year,48.01,142.95,158.48,17.48,82.88,5.8,107.28,30.69
Papaya,Assam,Kharif,18.59,51.47,43.75,10.0,86.15,6.76,243.49,29.28
Rice,Bihar,Winter,69.83,41.31,61.81,23.01,85.15,5.93,145.98,30.23
Grapes,Tamil Nadu,Whole Year,10.0,105.2,152.84,34.64,75.61,6.89,112.87,31.16
Maize,Jammu and Kashmir ,Kharif,95.32,74.2,38.15,23.83,73.25,5.12,131.85,26.01
Mango,Tamil Nadu,Whole Year,48.32,35.63,24.17,32.32,73.87,6.55,130.5,26.89
Blackgram,Chhattisgarh,Rabi,31.69,60.37,32.96,27.71,66.99,7.44,27.15,20.77
Grapes,Tamil Nadu,Whole Year,10.0,95.96,159.51,15.43,79.97,5.13,109.93,35.92
Rice,Odisha,Autumn,71.27,51.93,45.7,26.92,89.43,6.47,230.05,28.79
Grapes,Andhra Pradesh,Whole Year,15.74,135.69,168.64,18.28,81.59,5.71,94.41,29.04
Jute,West Bengal,Kharif,43.46,55.83,46.87,21.95,86.99,7.36,216.15,32.2
Jute,Bihar,Kharif,70.86,65.9,38.84,30.56,85.89,7.71,196.67,35.74
Maize,Andhra Pradesh,Rabi,89.05,47.37,31.26,13.58,59.09,7.01,77.49,23.09
Lentil,Uttarakhand,Rabi,90.3,74.25,29.18,27.39,63.33,7.39,63.71,24.08
Grapes,Telangana ,Whole Year,10.0,131.44,164.88,37.43,86.94,6.4,66.99,28.25
Lentil,Uttarakhand,Rabi,19.52,55.88,19.22,23.88,62.68,6.78,21.11,28.23
Grapes,Maharashtra,Whole Year,29.66,90.28,152.37,20.04,80.56,6.78,117.54,26.95
Banana,Kerala,Whole Year,76.8,76.11,38.62,24.63,71.88,6.68,107.48,31.4
Jute,Meghalaya,Kharif,98.16,32.06,45.68,28.3,90.72,6.84,218.15,33.99
Rice,Bihar,Winter,90.01,69.16,46.7,24.04,84.56,6.71,212.6,35.75
Coffee,Kerala,Whole Year,62.65,50.32,45.52,27.3,66.51,6.25,168.29,26.58
Maize,Tamil Nadu,Rabi,99.64,50.21,33.17,27.2,66.2,6.07,78.03,17.02
Rice,Kerala,Summer,72.62,49.17,45.61,28.13,78.22,5.62,215.35,29.94
Grapes,Andhra Pradesh,Kharif,54.71,107.05,159.1,24.72,81.37,5.58,112.65,17.77
Lentil,Uttarakhand,Rabi,10.0,59.06,14.86,27.92,67.45,6.75,61.76,26.66
Jute,Nagaland,Kharif,53.33,56.13,40.37,32.61,68.85,7.06,203.58,21.52
Orange,Tamil Nadu,Whole Year,27.09,7.26,20.99,38.49,92.85,6.77,147.8,30.5
Banana,Assam,Rabi,48.01,84.81,55.55,20.78,74.48,5.88,88.55,23.0
Mango,Tamil Nadu,Whole Year,42.37,55.11,32.76,31.25,67.32,5.84,103.81,23.09
Coffee,Kerala,Whole Year,71.09,38.75,41.56,28.6,68.22,6.84,227.55,17.2
Grapes,Andhra Pradesh,Whole Year,28.47,118.59,158.47,12.1,84.01,6.2,86.96,31.64
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Banana,Bihar,Whole Year,105.49,62.55,45.96,28.47,91.08,5.93,134.12,16.89
Mango,Maharashtra,Whole Year,10.0,19.65,38.0,25.24,66.81,4.73,121.63,20.08
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Jute,West Bengal,Kharif,86.1,55.7,33.33,24.42,85.07,7.5,177.2,39.68
Grapes,Maharashtra,Whole Year,29.66,90.28,152.37,20.04,80.56,6.78,117.54,26.95
Banana,Uttar Pradesh,Summer,73.66,66.84,39.25,27.53,75.31,6.06,64.91,23.76
Jute,West Bengal,Kharif,52.83,46.53,57.55,28.21,87.85,5.9,201.87,41.74
Papaya,Assam,Kharif,27.79,75.22,48.95,29.66,87.85,6.7,113.94,17.84
Maize,Punjab,Kharif,101.69,69.86,28.66,21.59,76.01,6.36,98.27,20.4
Grapes,Rajasthan,Whole Year,48.13,123.68,164.54,13.12,88.04,5.27,106.85,24.69
Coconut,Andhra Pradesh,Whole Year,37.41,36.62,38.5,30.79,84.98,6.67,111.73,28.31
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Jute,West Bengal,Kharif,74.22,77.85,46.27,26.38,88.73,6.27,189.89,29.5
Rice,Manipur,Kharif,75.99,72.36,49.41,28.76,82.79,5.63,240.25,30.7
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Coconut,Karnataka,Whole Year,17.88,15.24,34.01,26.39,86.27,6.08,150.21,31.17
Lentil,Nagaland,Rabi,42.9,69.49,21.49,18.91,68.76,7.81,22.92,19.61
Jute,West Bengal,Kharif,99.36,55.85,43.93,25.07,93.48,7.14,146.63,32.74
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Rice,Uttar Pradesh,Summer,79.79,35.19,52.87,26.62,82.98,6.53,172.35,25.13
Jute,Assam,Kharif,62.19,73.01,33.25,24.89,85.16,5.78,198.38,24.13
Mango,Kerala,Whole Year,27.03,27.19,36.75,25.05,54.39,6.17,88.66,22.91
Coffee,Kerala,Whole Year,113.51,21.19,44.22,25.91,83.59,7.77,140.58,33.81
Maize,Uttar Pradesh,Kharif,15.85,35.08,20.81,19.26,73.48,6.89,125.0,32.49
Grapes,Maharashtra,Whole Year,35.84,111.89,167.46,13.7,88.39,6.35,110.7,30.73
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Maize,Uttar Pradesh,Kharif,74.3,49.52,31.83,25.62,68.29,5.49,139.17,25.11
Papaya,Telangana ,Whole Year,34.94,65.85,46.91,28.84,93.96,6.98,189.21,33.56
Banana,Meghalaya,Kharif,88.28,63.82,49.69,30.16,94.26,5.79,155.74,30.98
Jute,Bihar,Kharif,99.11,40.34,47.65,26.1,59.16,6.08,200.13,25.47
Rice,Kerala,Summer,58.78,64.93,41.03,23.06,78.52,5.05,300.0,28.85
Jute,Assam,Kharif,70.57,51.42,48.03,27.71,86.33,6.62,220.0,35.91
Mango,Kerala,Whole Year,30.77,30.76,44.31,26.9,59.99,5.97,118.22,21.7
Maize,Sikkim,Kharif,77.33,38.81,38.37,18.03,73.87,5.6,170.17,32.55
Rice,Chhattisgarh,Kharif,112.29,55.75,36.48,27.89,85.14,7.45,214.12,34.18
Maize,Bihar,Kharif,64.56,20.52,29.76,23.6,84.62,7.52,122.6,27.3
Blackgram,Uttar Pradesh,Kharif,25.06,47.21,39.04,32.48,70.63,7.65,99.23,19.5
Lentil,Nagaland,Rabi,24.73,54.71,17.19,22.33,67.19,6.86,47.9,23.7
Blackgram,Andhra Pradesh,Rabi,77.31,44.15,40.23,28.09,71.0,7.77,41.65,18.2
Mango,Maharashtra,Whole Year,33.5,34.38,36.1,34.38,55.56,6.74,121.87,30.97
Coconut,Andhra Pradesh,Whole Year,21.07,43.1,23.51,27.07,98.0,6.19,188.69,34.73
Blackgram,Maharashtra,Kharif,46.47,67.07,30.79,29.92,77.11,6.23,99.76,22.62
Grapes,Tamil Nadu,Whole Year,22.17,128.11,164.19,10.0,79.08,5.81,107.94,25.89
Mango,Puducherry,Kharif,28.57,37.81,37.36,40.0,57.75,5.12,128.84,10.0
Banana,Karnataka,Whole Year,92.09,69.29,54.62,32.4,91.84,5.91,113.15,22.29
Jute,Meghalaya,Kharif,46.52,42.64,46.91,24.44,86.16,7.1,203.68,31.67
Maize,Uttar Pradesh,Kharif,69.24,81.59,23.97,26.54,80.98,6.92,192.58,30.07
Rice,Punjab,Kharif,108.85,51.05,42.41,25.23,85.46,6.34,300.0,35.92
Rice,Assam,Winter,80.71,32.45,50.33,18.7,80.49,6.07,133.77,24.83
Mango,Andhra Pradesh,Kharif,57.12,28.91,30.4,29.66,58.4,5.29,108.64,21.85
Jute,Tripura,Kharif,66.25,47.37,41.71,28.36,84.34,7.25,190.48,27.33
Coconut,Assam,Whole Year,45.11,24.05,40.31,26.24,87.7,6.67,180.68,29.47
Grapes,Tamil Nadu,Whole Year,18.75,115.6,153.39,40.0,88.71,6.43,87.76,24.59
Maize,Andhra Pradesh,Kharif,79.85,36.54,44.41,23.32,62.45,6.38,152.39,30.19
Banana,Tamil Nadu,Whole Year,102.41,69.35,48.82,28.05,80.16,5.38,142.04,28.69
Rice,Gujarat,Kharif,61.39,53.18,37.87,24.89,84.63,6.86,261.26,38.43
Rice,Madhya Pradesh,Kharif,70.73,58.24,48.72,16.88,92.99,8.5,187.89,46.27
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Blackgram,Gujarat,Kharif,63.56,68.54,45.61,34.99,69.65,6.98,116.86,29.71
Coconut,West Bengal,Whole Year,33.18,23.96,49.87,25.74,89.34,6.56,150.59,28.86
Coconut,West Bengal,Whole Year,23.15,5.0,32.36,23.33,88.91,5.99,159.6,26.68
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Blackgram,Bihar,Kharif,59.52,73.53,34.66,24.49,76.29,6.64,99.71,27.37
Banana,Uttar Pradesh,Summer,60.56,77.04,53.38,30.52,80.44,5.93,94.48,20.52
Grapes,Andhra Pradesh,Kharif,22.25,104.48,161.54,38.52,87.84,6.0,81.83,23.05
Orange,Tamil Nadu,Whole Year,11.04,37.43,19.1,10.0,77.78,6.65,134.78,20.14
Maize,Bihar,Rabi,56.41,60.21,23.92,22.37,57.13,6.78,105.41,25.0
Blackgram,Odisha,Autumn,14.01,66.6,14.17,25.34,68.12,6.61,106.52,28.24
Mango,Madhya Pradesh,Whole Year,10.0,35.07,31.38,33.09,63.67,6.39,122.57,25.75
Lentil,Nagaland,Rabi,42.9,69.49,21.49,18.91,68.76,7.81,22.92,19.61
Papaya,Andhra Pradesh,Kharif,41.19,64.32,51.61,20.54,98.0,7.0,212.01,27.43
Blackgram,Odisha,Winter,28.3,89.48,26.16,24.22,74.84,6.62,77.77,19.43
Rice,Uttar Pradesh,Summer,72.04,50.69,35.0,22.67,71.5,7.58,216.01,35.0
Coconut,Karnataka,Whole Year,10.0,43.1,33.58,31.88,84.83,5.89,277.96,33.32
Orange,Tamil Nadu,Whole Year,10.0,5.0,26.87,29.54,86.5,8.02,127.07,26.24
Rice,Bihar,Autumn,94.81,57.14,43.65,26.66,78.77,5.78,270.97,27.99
Grapes,Telangana ,Whole Year,42.53,125.86,156.15,10.0,74.0,5.85,88.9,22.71
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Lentil,Uttarakhand,Rabi,54.87,64.1,19.43,19.6,66.33,6.91,59.63,23.94
Blackgram,Odisha,Summer,66.43,67.3,35.8,31.26,66.3,7.23,52.43,22.16
Coconut,Assam,Whole Year,23.38,30.65,40.05,30.29,96.71,6.91,216.38,29.29
Mango,Rajasthan,Whole Year,37.92,34.1,27.0,33.53,49.46,5.37,125.43,18.24
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Banana,Meghalaya,Whole Year,91.84,89.86,37.96,30.33,74.43,6.6,94.88,25.28
Jute,Assam,Kharif,111.18,70.83,51.86,27.49,72.48,6.48,196.66,26.64
Banana,Tamil Nadu,Whole Year,81.27,86.82,54.14,25.65,83.15,5.86,153.58,33.24
Mango,Madhya Pradesh,Whole Year,43.36,36.8,39.12,27.83,57.65,5.52,122.65,29.85
Jute,Bihar,Kharif,71.03,66.57,42.99,27.59,98.0,7.23,187.72,38.01
Maize,Bihar,Rabi,78.66,84.53,24.08,20.83,67.2,6.63,69.85,18.89
Blackgram,Tamil Nadu,Whole Year,73.23,43.48,25.6,32.13,63.86,7.07,74.38,19.38
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Lentil,Uttarakhand,Rabi,10.0,73.67,29.65,29.04,57.59,6.72,22.33,13.84
Mango,Kerala,Whole Year,10.0,46.99,41.33,38.35,52.17,7.29,119.16,24.69
Maize,Uttar Pradesh,Kharif,50.79,59.24,39.43,25.69,64.83,5.52,133.6,27.22
Lentil,Nagaland,Rabi,11.29,70.23,31.88,26.6,61.73,7.17,79.46,12.32
Mango,Kerala,Whole Year,29.35,40.62,33.88,33.88,60.95,5.97,130.85,20.75
Orange,Assam,Whole Year,35.52,36.51,24.53,24.38,83.55,8.04,119.73,25.9
Rice,Uttar Pradesh,Kharif,95.56,66.07,37.05,23.18,87.67,5.5,205.5,25.36
Banana,Uttar Pradesh,Summer,90.29,85.66,50.71,30.17,77.22,6.87,75.04,23.4
Grapes,Karnataka,Whole Year,33.67,115.49,156.07,36.12,87.91,6.74,81.9,32.23
Blackgram,Himachal Pradesh,Kharif,80.94,40.68,12.98,26.45,70.72,7.2,100.31,24.99
Jute,Assam,Kharif,77.21,33.95,30.82,21.98,82.25,6.78,173.71,33.12
Jute,West Bengal,Kharif,74.06,41.72,47.83,25.02,83.9,7.53,220.69,34.26
Banana,Assam,Whole Year,96.23,74.66,49.83,24.03,83.36,5.52,64.45,31.51
Blackgram,Odisha,Autumn,43.38,72.54,33.28,25.1,62.75,7.09,75.1,24.45
Lentil,Nagaland,Rabi,13.63,81.77,22.45,17.63,66.97,6.5,20.0,28.52
Banana,Uttar Pradesh,Whole Year,86.51,73.54,56.82,26.47,94.31,5.67,124.95,31.19
Rice,Uttar Pradesh,Kharif,70.36,39.57,44.91,17.41,89.06,4.5,195.15,30.55
Maize,Maharashtra,Rabi,45.66,53.42,30.56,28.25,70.15,5.47,42.49,24.94
Blackgram,Chhattisgarh,Rabi,60.92,59.54,10.08,27.77,69.88,7.12,74.6,18.36
Papaya,Kerala,Whole Year,28.5,60.65,45.83,40.0,84.51,6.42,300.0,33.46
Papaya,Tamil Nadu,Whole Year,47.68,39.76,55.72,39.74,95.21,6.41,146.47,28.12
Papaya,Madhya Pradesh,Whole Year,47.56,48.65,56.12,21.76,96.24,7.48,190.71,29.25
Maize,Bihar,Kharif,86.39,61.9,24.09,20.58,79.94,6.47,140.54,28.78
Rice,West Bengal,Winter,86.99,31.18,47.42,23.74,87.96,6.21,74.27,33.62
Mango,Madhya Pradesh,Whole Year,10.0,21.53,31.06,37.36,57.64,8.5,101.42,16.65
Coconut,Karnataka,Whole Year,36.35,32.38,38.72,26.48,86.04,6.13,131.95,30.71
Banana,Manipur,Whole Year,76.91,77.21,45.52,25.02,82.03,6.24,117.77,21.41
Maize,Karnataka,Kharif,73.34,53.32,17.26,31.11,54.47,6.5,135.56,15.82
Banana,Karnataka,Whole Year,114.07,87.25,49.44,29.27,81.13,6.24,136.86,29.47
Lentil,Nagaland,Rabi,10.0,60.15,17.79,24.23,56.04,7.66,37.3,18.57
Maize,Uttar Pradesh,Rabi,65.93,31.96,18.21,13.71,73.86,6.41,38.01,16.21
Grapes,Madhya Pradesh,Whole Year,48.54,105.69,168.17,40.0,81.92,6.27,102.67,23.53
Banana,Tamil Nadu,Whole Year,80.74,67.68,57.72,30.11,72.19,6.48,127.13,32.0
Mango,Maharashtra,Whole Year,37.63,58.71,35.85,26.86,53.27,6.6,96.57,23.88
Grapes,Tamil Nadu,Whole Year,31.41,127.17,159.15,35.52,79.31,6.48,86.15,28.78
Orange,Assam,Kharif,49.66,28.96,16.05,13.96,87.76,7.36,109.77,26.01
Rice,Assam,Autumn,57.08,59.87,38.93,24.69,75.29,5.36,190.94,25.32
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Coconut,West Bengal,Whole Year,64.52,43.43,39.8,28.55,92.7,6.21,175.16,40.82
Rice,Odisha,Autumn,94.02,61.36,31.39,30.63,83.43,6.61,168.63,25.47
Grapes,Tamil Nadu,Whole Year,10.0,95.96,159.51,15.43,79.97,5.13,109.93,35.92
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Orange,Madhya Pradesh,Whole Year,10.0,39.52,28.14,11.36,97.4,6.72,120.37,31.0
Mango,Madhya Pradesh,Whole Year,34.87,33.11,41.99,28.85,56.46,5.37,142.57,32.14
Grapes,Karnataka,Whole Year,10.0,130.16,173.01,21.93,75.91,6.01,98.04,28.89
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Apple,Tamil Nadu,Whole Year,35.71,102.26,171.16,23.43,87.3,5.68,143.25,22.13
Blackgram,Karnataka,Kharif,94.66,68.2,23.31,25.62,70.05,6.99,82.8,22.6
Papaya,Assam,Kharif,30.19,72.43,52.85,33.82,92.44,6.6,167.87,25.07
Banana,Chhattisgarh,Whole Year,86.9,67.74,56.45,18.86,79.16,5.54,102.88,30.55
Papaya,Assam,Kharif,67.27,58.55,44.43,20.52,95.57,6.1,37.71,21.83
Banana,Uttar Pradesh,Summer,66.24,79.12,50.3,24.98,78.52,5.62,46.35,21.75
Maize,Rajasthan,Kharif,51.75,71.49,23.41,25.73,48.89,7.14,145.59,32.32
Jute,West Bengal,Kharif,100.37,37.6,37.73,23.87,80.06,6.25,164.75,24.05
Banana,Uttar Pradesh,Whole Year,99.25,61.1,55.99,30.38,87.6,5.97,92.95,26.31
Maize,Andhra Pradesh,Rabi,104.15,30.49,21.74,20.17,73.46,6.51,51.12,27.72
Blackgram,Jammu and Kashmir ,Kharif,105.52,79.72,36.11,32.35,72.98,7.93,123.92,25.31
Grapes,Tamil Nadu,Whole Year,18.75,115.6,153.39,40.0,88.71,6.43,87.76,24.59
Jute,Manipur,Summer,59.51,40.81,43.55,24.18,76.9,7.05,111.87,31.97
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Jute,West Bengal,Kharif,48.98,57.44,43.59,22.91,77.82,7.08,202.96,26.59
Lentil,Uttarakhand,Rabi,72.97,75.86,20.47,16.34,60.2,6.17,51.04,21.29
Coffee,Kerala,Whole Year,113.51,21.19,44.22,25.91,83.59,7.77,140.58,33.81
Blackgram,Uttar Pradesh,Kharif,13.62,84.66,34.61,29.27,64.72,7.18,80.71,23.5
Rice,Maharashtra,Kharif,89.28,88.56,50.14,22.65,78.35,6.9,261.19,31.9
Orange,Assam,Kharif,21.24,41.99,10.83,26.22,98.0,6.31,164.46,33.07
Jute,Bihar,Kharif,91.06,46.32,44.66,25.27,83.69,5.9,198.77,34.01
Lentil,Uttarakhand,Rabi,19.52,55.88,19.22,23.88,62.68,6.78,21.11,28.23
Jute,Odisha,Autumn,47.84,48.02,40.56,24.68,80.31,6.44,191.15,30.25
Lentil,Nagaland,Rabi,24.94,75.82,18.15,17.56,72.48,7.14,20.0,24.42
Rice,Uttarakhand,Kharif,102.57,40.26,47.2,21.56,86.83,7.43,273.52,34.4
Banana,Tamil Nadu,Whole Year,89.69,64.15,56.22,23.58,81.82,6.37,83.26,20.47
Lentil,Uttarakhand,Rabi,46.03,68.65,19.27,25.4,79.81,6.56,27.73,16.63
Coconut,Assam,Whole Year,10.7,36.65,47.04,25.76,86.38,6.52,177.19,31.22
Blackgram,Bihar,Kharif,32.57,69.05,42.48,32.42,72.53,7.4,98.42,24.5
Jute,Tripura,Kharif,78.28,56.91,33.84,29.92,91.11,7.25,221.06,42.03
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Rice,Bihar,Winter,60.07,40.09,40.26,16.97,79.74,5.7,173.65,37.72
Rice,Assam,Summer,74.26,60.79,51.89,27.25,68.65,6.3,199.0,24.73
Orange,Assam,Kharif,46.74,40.8,22.79,30.77,87.64,7.55,116.43,27.32
Banana,Chhattisgarh,Whole Year,94.41,73.15,66.37,26.56,87.03,5.72,70.16,25.49
Rice,Odisha,Winter,124.03,31.01,33.76,23.63,77.46,6.07,223.1,44.72
Rice,Nagaland,Kharif,70.54,58.87,43.59,19.96,90.55,5.93,287.79,35.53
Papaya,Assam,Kharif,31.84,46.59,47.5,40.0,88.16,6.59,123.07,27.62
Coffee,Kerala,Whole Year,62.65,50.32,45.52,27.3,66.51,6.25,168.29,26.58
Banana,Madhya Pradesh,Whole Year,68.97,59.45,50.83,31.34,72.03,5.73,105.06,18.37
Rice,Odisha,Autumn,62.14,46.38,42.37,25.43,82.59,6.02,167.67,19.61
Blackgram,Bihar,Kharif,63.92,63.6,40.37,34.72,71.83,5.98,89.26,21.31
Jute,Odisha,Kharif,79.84,55.22,52.34,21.46,88.17,6.19,132.99,27.22
Maize,Arunachal Pradesh,Kharif,58.97,51.63,28.89,16.04,71.66,7.17,159.21,30.05
Jute,Assam,Kharif,87.51,47.61,42.43,27.93,77.7,6.64,182.73,32.25
Banana,Madhya Pradesh,Whole Year,83.47,94.57,64.39,30.84,82.88,5.67,130.94,30.44
Mango,Kerala,Whole Year,49.75,37.23,31.87,20.62,57.02,5.77,95.77,20.18
Lentil,Uttarakhand,Rabi,19.52,55.88,19.22,23.88,62.68,6.78,21.11,28.23
Orange,Andhra Pradesh,Whole Year,45.51,15.4,18.0,31.94,86.94,6.45,100.33,36.28
Orange,Assam,Kharif,40.78,41.11,21.15,18.79,97.03,6.45,152.57,32.42
Maize,Himachal Pradesh,Kharif,73.03,46.11,27.19,19.55,60.64,6.76,151.6,32.88
Orange,Tamil Nadu,Whole Year,16.5,38.0,14.18,24.14,97.39,6.25,135.15,29.81
Jute,Assam,Kharif,75.41,45.63,49.78,21.98,97.58,6.5,145.77,30.46
Coconut,Karnataka,Whole Year,10.0,31.62,37.42,32.24,96.75,5.33,198.9,29.33
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Jute,West Bengal,Kharif,89.9,43.3,42.62,25.78,79.06,7.62,188.16,25.51
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Orange,Assam,Kharif,10.0,37.83,28.15,20.2,84.7,7.22,149.45,27.99
Coconut,Kerala,Whole Year,15.63,24.68,26.28,28.07,86.48,5.61,165.06,27.01
Grapes,Karnataka,Whole Year,38.7,121.33,157.98,11.04,81.07,6.67,122.12,29.49
Jute,Meghalaya,Kharif,95.53,54.28,37.58,24.19,88.4,7.92,204.86,34.93
Banana,Puducherry,Kharif,116.76,58.4,59.16,31.08,78.72,5.89,130.11,24.14
Lentil,Uttarakhand,Rabi,90.3,74.25,29.18,27.39,63.33,7.39,63.71,24.08
Orange,Tamil Nadu,Whole Year,53.48,35.54,25.66,24.89,94.93,5.36,85.87,22.94
Blackgram,Karnataka,Kharif,23.12,86.14,41.1,27.55,69.96,6.4,133.2,21.33
Papaya,Karnataka,Whole Year,49.02,69.49,50.37,19.17,91.7,6.44,126.43,25.46
Banana,Karnataka,Whole Year,84.93,67.74,49.93,28.4,83.68,6.25,136.05,24.85
Mango,Andhra Pradesh,Kharif,37.17,11.28,30.0,33.96,63.24,4.5,136.17,26.18
Coconut,West Bengal,Whole Year,48.04,37.29,38.58,25.97,86.79,5.42,180.79,33.91
Banana,Bihar,Whole Year,59.54,98.53,51.64,28.85,91.25,6.49,110.43,25.28
Papaya,Manipur,Whole Year,37.71,56.34,45.76,20.7,92.68,6.48,110.66,20.36
Maize,Uttar Pradesh,Rabi,80.47,60.12,33.96,21.36,84.26,7.28,35.34,30.47
Coconut,Tamil Nadu,Whole Year,45.43,12.3,32.97,25.69,82.8,5.35,159.04,23.31
Grapes,Telangana ,Whole Year,10.0,103.28,171.19,33.8,85.17,6.27,60.76,32.85
Coffee,Kerala,Whole Year,62.65,50.32,45.52,27.3,66.51,6.25,168.29,26.58
Banana,Kerala,Whole Year,95.86,66.43,53.65,29.21,92.02,6.29,142.9,31.43
Papaya,Assam,Kharif,66.98,73.64,44.04,40.0,88.9,6.91,225.79,38.79
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Blackgram,Uttar Pradesh,Summer,56.67,73.23,27.23,34.44,58.83,6.88,37.46,22.33
Jute,West Bengal,Kharif,78.21,61.83,52.01,25.56,77.63,7.03,167.45,25.33
Coconut,West Bengal,Whole Year,44.36,50.39,32.89,30.1,93.57,5.77,300.0,39.01
Papaya,Tamil Nadu,Whole Year,22.93,61.47,44.53,20.41,86.67,6.87,89.77,24.58
Banana,Assam,Whole Year,82.68,85.01,51.05,27.98,82.77,6.43,94.0,30.7
Lentil,Nagaland,Rabi,23.14,64.91,22.19,22.74,69.75,6.19,37.99,26.98
Lentil,Nagaland,Rabi,29.9,48.23,13.12,27.95,53.68,6.22,80.15,26.13
Papaya,Kerala,Whole Year,73.01,64.33,63.16,40.0,83.25,6.44,253.96,33.24
Banana,Karnataka,Whole Year,89.62,95.05,49.36,28.92,80.36,6.21,102.94,20.73
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Banana,Uttar Pradesh,Summer,97.88,89.57,50.95,30.58,75.75,6.74,42.02,22.81
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Rice,Tamil Nadu,Kharif,109.21,33.29,48.71,27.11,85.72,6.93,201.28,32.12
Jute,Assam,Kharif,52.58,59.88,50.84,30.4,69.88,7.0,179.42,28.28
Papaya,Assam,Kharif,25.05,42.42,51.68,36.66,89.87,6.44,170.73,30.53
Coconut,Karnataka,Whole Year,10.0,54.92,42.04,29.45,97.46,6.67,143.63,37.82
Coffee,Kerala,Whole Year,113.51,21.19,44.22,25.91,83.59,7.77,140.58,33.81
Banana,Bihar,Whole Year,89.6,57.35,62.27,26.47,75.94,6.16,103.39,25.53
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Rice,Andaman and Nicobar Islands,Kharif,56.05,45.84,35.81,27.24,82.31,6.81,193.8,31.03
Jute,Bihar,Kharif,53.46,57.55,53.64,24.64,76.73,7.22,125.05,27.61
Grapes,Madhya Pradesh,Whole Year,21.83,100.13,164.47,26.19,83.51,6.39,99.67,19.27
Blackgram,Gujarat,Kharif,32.6,86.02,29.35,25.28,68.73,6.66,129.55,23.41
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Rice,Telangana ,Kharif,61.93,45.74,42.14,24.77,77.83,5.51,216.41,28.31
Blackgram,Uttar Pradesh,Summer,52.76,53.91,32.71,29.57,67.89,7.87,70.76,20.23
Blackgram,Telangana ,Rabi,10.0,68.95,31.08,27.85,65.04,6.61,59.07,26.27
Rice,Bihar,Summer,81.01,68.08,34.91,29.79,83.09,6.66,241.33,25.44
Jute,Odisha,Kharif,31.97,46.08,43.09,27.34,86.6,4.61,176.15,34.13
